,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
112,5.0,7.0,5.0,5.0,6.0,6.0,4.0,5.0
113,5.0,5.0,4.0,7.0,6.0,6.0,4.0,6.0
114,5.0,5.0,5.0,5.0,7.0,6.0,5.0,7.0
115,6.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0
116,2.0,4.0,4.0,6.0,4.0,5.0,8.0,6.0
117,7.0,7.0,4.0,5.0,4.0,6.0,6.0,5.0
118,7.0,7.0,7.0,8.0,5.0,7.0,6.0,6.0
119,5.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0
120,5.0,6.0,5.0,5.0,3.0,5.0,5.0,6.0
121,6.0,6.0,6.0,4.0,6.0,3.0,5.0,5.0
122,6.0,7.0,7.0,6.0,5.0,7.0,7.0,6.0
123,7.0,8.0,6.0,8.0,5.0,7.0,5.0,5.0
124,5.0,5.0,4.0,7.0,7.0,5.0,5.0,3.0
125,4.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0
126,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0
127,5.0,4.0,4.0,6.0,5.0,5.0,5.0,6.0
128,6.0,5.0,6.0,4.0,5.0,6.0,4.0,6.0
129,4.0,5.0,5.0,6.0,4.0,6.0,7.0,7.0
130,7.0,7.0,6.0,5.0,5.0,7.0,7.0,5.0
131,7.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0
132,6.0,5.0,6.0,4.0,7.0,5.0,6.0,6.0
133,5.0,5.0,4.0,6.0,5.0,7.0,6.0,5.0
134,4.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0
135,4.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0
136,4.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0
137,5.0,6.0,6.0,3.0,6.0,5.0,7.0,6.0
138,6.0,5.0,6.0,6.0,4.0,6.0,5.0,7.0
139,6.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0
140,5.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0
141,6.0,7.0,5.0,5.0,6.0,5.0,6.0,7.0
142,5.0,6.0,6.0,5.0,8.0,6.0,5.0,6.0
143,6.0,5.0,4.0,7.0,5.0,4.0,4.0,6.0
144,8.0,8.0,7.0,5.0,6.0,7.0,5.0,7.0
145,5.0,6.0,5.0,4.0,5.0,6.0,5.0,4.0
146,5.0,6.0,6.0,6.0,4.0,6.0,6.0,7.0
147,6.0,5.0,5.0,7.0,3.0,6.0,7.0,6.0
148,5.0,6.0,5.0,5.0,7.0,5.0,5.0,6.0
149,6.0,6.0,6.0,7.0,5.0,7.0,7.0,7.0
150,5.0,5.0,4.0,4.0,6.0,4.0,5.0,4.0
151,7.0,6.0,7.0,7.0,5.0,6.0,7.0,6.0
152,5.0,5.0,6.0,7.0,4.0,5.0,5.0,6.0
153,8.0,8.0,7.0,5.0,5.0,6.0,5.0,7.0
154,4.0,5.0,5.0,5.0,3.0,6.0,7.0,6.0
155,6.0,5.0,5.0,4.0,7.0,6.0,4.0,6.0
156,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0
157,6.0,5.0,7.0,6.0,5.0,7.0,6.0,6.0
158,5.0,7.0,6.0,6.0,5.0,6.0,6.0,7.0
159,6.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0
160,6.0,6.0,5.0,5.0,6.0,6.0,7.0,4.0
161,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0
162,5.0,5.0,4.0,5.0,4.0,5.0,6.0,7.0
163,4.0,4.0,4.0,8.0,4.0,6.0,6.0,8.0
164,4.0,3.0,4.0,7.0,5.0,3.0,4.0,4.0
165,4.0,4.0,4.0,6.0,6.0,4.0,5.0,5.0
166,4.0,4.0,4.0,6.0,5.0,5.0,5.0,6.0
167,5.0,5.0,5.0,6.0,4.0,6.0,6.0,5.0
168,6.0,6.0,7.0,4.0,6.0,7.0,5.0,6.0
169,7.0,7.0,6.0,3.0,7.0,5.0,6.0,4.0
170,6.0,5.0,6.0,3.0,5.0,5.0,7.0,5.0
171,8.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0
172,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0
173,5.0,5.0,5.0,4.0,7.0,4.0,5.0,5.0
174,7.0,6.0,7.0,5.0,5.0,6.0,4.0,6.0
175,8.0,6.0,7.0,6.0,4.0,7.0,7.0,6.0
176,6.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0
177,4.0,4.0,4.0,7.0,4.0,6.0,6.0,6.0
178,7.0,7.0,7.0,6.0,4.0,6.0,6.0,8.0
179,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0
180,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0
181,7.0,6.0,5.0,5.0,7.0,5.0,5.0,5.0
182,4.0,4.0,4.0,6.0,8.0,4.0,4.0,3.0
183,7.0,6.0,7.0,5.0,7.0,7.0,7.0,5.0
184,4.0,4.0,4.0,4.0,6.0,5.0,6.0,5.0
185,7.0,5.0,5.0,4.0,5.0,6.0,7.0,7.0
186,4.0,5.0,5.0,6.0,6.0,4.0,5.0,3.0
187,6.0,6.0,5.0,7.0,6.0,6.0,7.0,6.0
188,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0
189,4.0,5.0,6.0,7.0,4.0,5.0,5.0,5.0
190,6.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0
191,6.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0
192,6.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0
193,6.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0
194,5.0,4.0,5.0,7.0,5.0,6.0,6.0,5.0
195,3.0,4.0,4.0,6.0,6.0,5.0,4.0,6.0
196,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0
197,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0
198,5.0,5.0,5.0,7.0,6.0,4.0,5.0,4.0
199,5.0,5.0,5.0,6.0,7.0,5.0,5.0,6.0
200,7.0,7.0,6.0,5.0,6.0,6.0,7.0,6.0
201,4.0,4.0,4.0,7.0,4.0,4.0,5.0,5.0
202,5.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0
203,7.0,6.0,6.0,7.0,6.0,8.0,8.0,5.0
204,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0
205,6.0,7.0,5.0,6.0,6.0,5.0,6.0,4.0
206,6.0,7.0,6.0,6.0,4.0,6.0,5.0,6.0
207,6.0,7.0,5.0,6.0,6.0,6.0,6.0,6.0
208,4.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0
209,6.0,6.0,7.0,6.0,6.0,7.0,6.0,5.0
210,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0
211,4.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0
212,5.0,5.0,5.0,6.0,4.0,5.0,7.0,6.0
213,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0
214,5.0,5.0,4.0,7.0,5.0,6.0,4.0,7.0
215,6.0,6.0,6.0,4.0,4.0,7.0,7.0,6.0
216,4.0,4.0,5.0,5.0,6.0,4.0,5.0,6.0
217,5.0,4.0,5.0,6.0,4.0,8.0,5.0,4.0
218,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0
219,5.0,3.0,4.0,6.0,6.0,3.0,4.0,7.0
220,5.0,5.0,6.0,4.0,5.0,6.0,5.0,5.0
221,5.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0
222,7.0,8.0,8.0,5.0,4.0,7.0,8.0,6.0
223,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0
224,6.0,6.0,7.0,6.0,5.0,7.0,6.0,6.0
225,4.0,5.0,4.0,6.0,5.0,4.0,4.0,5.0
226,5.0,4.0,6.0,7.0,5.0,5.0,6.0,4.0
227,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0
228,4.0,4.0,4.0,4.0,6.0,3.0,3.0,4.0
229,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0
230,7.0,7.0,7.0,6.0,5.0,5.0,5.0,7.0
231,6.0,6.0,5.0,6.0,6.0,5.0,4.0,5.0
232,3.0,3.0,4.0,4.0,6.0,4.0,4.0,6.0
233,6.0,6.0,8.0,6.0,5.0,5.0,5.0,6.0
234,3.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0
235,6.0,6.0,5.0,7.0,5.0,6.0,6.0,5.0
236,5.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
237,4.0,4.0,4.0,4.0,6.0,5.0,6.0,4.0
238,3.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0
239,7.0,6.0,6.0,4.0,7.0,5.0,6.0,7.0
240,5.0,6.0,5.0,4.0,5.0,6.0,5.0,6.0
241,4.0,5.0,4.0,8.0,4.0,5.0,5.0,4.0
242,4.0,3.0,4.0,7.0,6.0,4.0,6.0,6.0
243,4.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0
244,6.0,5.0,6.0,3.0,6.0,5.0,5.0,6.0
245,5.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0
246,4.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0
247,5.0,6.0,8.0,6.0,6.0,6.0,6.0,5.0
248,4.0,5.0,4.0,5.0,8.0,3.0,4.0,2.0
249,6.0,7.0,5.0,7.0,5.0,7.0,5.0,6.0
250,7.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0
251,6.0,6.0,6.0,4.0,6.0,4.0,5.0,5.0
252,6.0,6.0,7.0,6.0,5.0,5.0,4.0,6.0
253,5.0,5.0,5.0,6.0,5.0,7.0,4.0,3.0
254,4.0,5.0,4.0,6.0,4.0,6.0,6.0,6.0
255,6.0,6.0,6.0,7.0,6.0,6.0,6.0,4.0
256,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0
257,6.0,8.0,7.0,5.0,7.0,5.0,5.0,4.0
258,5.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0
259,6.0,5.0,5.0,5.0,6.0,7.0,7.0,6.0
260,5.0,5.0,7.0,5.0,6.0,5.0,4.0,4.0
261,4.0,4.0,4.0,5.0,5.0,5.0,7.0,5.0
262,4.0,4.0,5.0,7.0,3.0,6.0,6.0,6.0
263,6.0,6.0,7.0,6.0,5.0,7.0,8.0,5.0
264,5.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0
265,6.0,6.0,5.0,6.0,3.0,8.0,6.0,8.0
266,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0
267,8.0,8.0,8.0,5.0,5.0,6.0,6.0,5.0
268,7.0,7.0,7.0,7.0,3.0,6.0,7.0,7.0
269,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0
270,4.0,4.0,6.0,5.0,5.0,5.0,6.0,3.0
271,5.0,5.0,5.0,7.0,5.0,6.0,5.0,4.0
272,6.0,6.0,6.0,5.0,7.0,7.0,5.0,5.0
273,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
274,6.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0
275,5.0,6.0,7.0,5.0,5.0,5.0,6.0,5.0
276,7.0,8.0,7.0,4.0,5.0,6.0,6.0,5.0
277,6.0,7.0,5.0,6.0,4.0,7.0,6.0,7.0
278,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0
279,7.0,7.0,8.0,5.0,7.0,6.0,8.0,5.0
280,4.0,5.0,5.0,6.0,8.0,5.0,7.0,6.0
281,7.0,7.0,7.0,5.0,5.0,6.0,7.0,5.0
282,7.0,6.0,5.0,5.0,6.0,4.0,4.0,5.0
283,4.0,5.0,5.0,5.0,6.0,4.0,3.0,6.0
284,6.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0
285,8.0,8.0,7.0,5.0,7.0,6.0,7.0,6.0
286,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0
287,5.0,5.0,6.0,7.0,5.0,7.0,7.0,5.0
288,4.0,4.0,4.0,5.0,5.0,4.0,5.0,6.0
289,7.0,6.0,7.0,6.0,5.0,7.0,6.0,5.0
290,6.0,4.0,6.0,5.0,6.0,4.0,4.0,5.0
291,5.0,6.0,4.0,4.0,6.0,4.0,5.0,5.0
292,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0
293,5.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0
294,5.0,6.0,7.0,5.0,6.0,3.0,5.0,4.0
295,4.0,6.0,5.0,7.0,4.0,6.0,7.0,6.0
296,6.0,6.0,6.0,6.0,5.0,7.0,8.0,7.0
297,6.0,5.0,5.0,6.0,7.0,4.0,4.0,7.0
298,8.0,8.0,8.0,7.0,5.0,7.0,6.0,6.0
299,7.0,7.0,6.0,6.0,5.0,7.0,6.0,5.0
300,5.0,6.0,5.0,5.0,6.0,6.0,4.0,4.0
301,6.0,6.0,6.0,4.0,5.0,4.0,5.0,5.0
302,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0
303,4.0,5.0,5.0,6.0,5.0,7.0,6.0,6.0
304,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0
305,6.0,6.0,7.0,5.0,8.0,5.0,5.0,6.0
306,6.0,7.0,5.0,5.0,5.0,4.0,6.0,4.0
307,3.0,4.0,4.0,4.0,6.0,5.0,3.0,6.0
308,6.0,6.0,6.0,4.0,5.0,4.0,5.0,7.0
309,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0
310,4.0,4.0,6.0,5.0,6.0,5.0,4.0,5.0
311,6.0,6.0,7.0,6.0,4.0,6.0,5.0,5.0
312,5.0,5.0,5.0,5.0,6.0,5.0,6.0,4.0
313,6.0,8.0,7.0,7.0,5.0,7.0,7.0,5.0
314,8.0,7.0,7.0,7.0,5.0,6.0,8.0,7.0
315,7.0,6.0,7.0,6.0,5.0,6.0,5.0,4.0
316,5.0,4.0,5.0,3.0,7.0,4.0,4.0,4.0
317,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0
318,6.0,5.0,6.0,7.0,7.0,7.0,6.0,6.0
319,5.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0
320,6.0,5.0,5.0,7.0,5.0,6.0,6.0,6.0
321,6.0,6.0,7.0,5.0,5.0,6.0,6.0,6.0
322,7.0,8.0,8.0,8.0,5.0,7.0,7.0,6.0
323,3.0,4.0,4.0,6.0,5.0,6.0,5.0,6.0
324,6.0,4.0,6.0,6.0,4.0,7.0,7.0,6.0
325,6.0,7.0,7.0,5.0,6.0,6.0,5.0,6.0
326,8.0,7.0,8.0,5.0,5.0,6.0,6.0,4.0
327,4.0,4.0,3.0,4.0,7.0,4.0,4.0,5.0
328,5.0,6.0,6.0,5.0,7.0,5.0,5.0,6.0
329,6.0,7.0,5.0,5.0,7.0,6.0,6.0,5.0
330,4.0,6.0,4.0,4.0,6.0,4.0,6.0,6.0
331,3.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0
332,7.0,7.0,6.0,5.0,6.0,6.0,6.0,7.0
333,6.0,7.0,7.0,6.0,4.0,6.0,5.0,5.0
334,6.0,6.0,5.0,6.0,4.0,6.0,5.0,5.0
335,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
336,6.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0
337,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0
338,4.0,5.0,4.0,7.0,5.0,6.0,7.0,4.0
339,7.0,8.0,6.0,5.0,5.0,7.0,8.0,7.0
340,4.0,5.0,4.0,5.0,6.0,4.0,5.0,6.0
341,7.0,5.0,6.0,6.0,5.0,5.0,7.0,7.0
342,6.0,6.0,6.0,6.0,3.0,7.0,6.0,6.0
343,7.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0
344,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0
345,5.0,4.0,5.0,6.0,4.0,6.0,5.0,8.0
346,5.0,6.0,4.0,7.0,3.0,7.0,7.0,7.0
347,6.0,5.0,6.0,5.0,4.0,6.0,7.0,5.0
348,5.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0
349,6.0,6.0,5.0,7.0,4.0,6.0,6.0,6.0
350,5.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0
351,5.0,4.0,6.0,5.0,7.0,6.0,6.0,5.0
352,4.0,5.0,5.0,6.0,6.0,5.0,6.0,4.0
353,4.0,5.0,4.0,6.0,4.0,5.0,7.0,5.0
354,5.0,6.0,6.0,7.0,4.0,6.0,6.0,6.0
355,4.0,5.0,4.0,7.0,5.0,4.0,4.0,4.0
356,6.0,7.0,7.0,3.0,7.0,4.0,3.0,5.0
357,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0
358,4.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0
359,5.0,4.0,6.0,6.0,5.0,6.0,7.0,6.0
360,4.0,5.0,4.0,6.0,6.0,5.0,5.0,7.0
361,6.0,5.0,6.0,7.0,5.0,6.0,6.0,6.0
362,5.0,5.0,5.0,7.0,4.0,6.0,5.0,6.0
363,6.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0
364,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0
365,6.0,6.0,6.0,5.0,4.0,6.0,5.0,4.0
366,4.0,3.0,4.0,4.0,7.0,3.0,3.0,6.0
367,6.0,7.0,6.0,5.0,4.0,8.0,6.0,7.0
368,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
369,5.0,6.0,5.0,6.0,3.0,5.0,6.0,5.0
370,5.0,6.0,5.0,4.0,6.0,5.0,6.0,5.0
371,5.0,6.0,5.0,6.0,2.0,7.0,5.0,7.0
372,7.0,7.0,7.0,5.0,6.0,5.0,6.0,6.0
373,6.0,5.0,8.0,6.0,5.0,6.0,5.0,6.0
374,5.0,4.0,6.0,6.0,5.0,6.0,6.0,4.0
375,7.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0
376,8.0,6.0,7.0,5.0,5.0,6.0,6.0,6.0
377,5.0,3.0,4.0,5.0,6.0,5.0,5.0,6.0
378,6.0,5.0,4.0,5.0,5.0,4.0,6.0,6.0
379,6.0,6.0,7.0,6.0,3.0,6.0,7.0,7.0
380,5.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0
381,6.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0
382,6.0,6.0,6.0,7.0,6.0,5.0,5.0,7.0
383,6.0,7.0,5.0,5.0,6.0,4.0,6.0,3.0
384,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0
385,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0
386,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0
387,7.0,6.0,7.0,6.0,4.0,8.0,7.0,7.0
388,5.0,5.0,5.0,5.0,6.0,4.0,7.0,7.0
389,7.0,7.0,6.0,5.0,7.0,7.0,5.0,6.0
390,6.0,7.0,6.0,5.0,6.0,6.0,6.0,5.0
391,5.0,6.0,4.0,5.0,5.0,5.0,6.0,4.0
392,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0
393,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0
394,6.0,6.0,5.0,5.0,7.0,6.0,5.0,5.0
395,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0
396,5.0,4.0,5.0,5.0,5.0,6.0,7.0,6.0
397,5.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0
398,6.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0
399,6.0,6.0,6.0,5.0,5.0,6.0,8.0,5.0
400,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
401,5.0,7.0,7.0,3.0,7.0,6.0,6.0,5.0
402,6.0,7.0,5.0,4.0,5.0,7.0,7.0,6.0
403,4.0,4.0,3.0,5.0,7.0,4.0,3.0,5.0
404,7.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0
405,6.0,6.0,6.0,4.0,4.0,7.0,6.0,6.0
406,5.0,4.0,5.0,5.0,7.0,3.0,3.0,5.0
407,7.0,7.0,7.0,7.0,5.0,7.0,5.0,6.0
408,7.0,7.0,7.0,6.0,5.0,7.0,6.0,7.0
